,time_x,address,totalBikeStands,availableBikeStands,availableBikes,status,datetime_x,date,day,hour,time_y,mainDescription,detailedDescription,icon,currentTemp,maxTemp,minTemp,pressure,humidity,windSpeed,windAngle,cloudDensity,visibility,datetime_y
46,1521226320000,Cathal Brugha Street,20,1,19,OPEN,2018-03-16 18:52:00,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
47,1521226321000,York Street East,32,29,3,OPEN,2018-03-16 18:52:01,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
48,1521226324000,Merrion Square East,30,22,8,CLOSED,2018-03-16 18:52:04,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
49,1521226327000,Hatch Street,36,36,0,OPEN,2018-03-16 18:52:07,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
50,1521226327000,Parnell Square North,20,0,0,CLOSED,2018-03-16 18:52:07,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
51,1521226329000,Earlsfort Terrace,30,28,2,OPEN,2018-03-16 18:52:09,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
52,1521226338000,Smithfield North,30,1,28,OPEN,2018-03-16 18:52:18,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
53,1521226340000,Parnell Street,20,14,6,OPEN,2018-03-16 18:52:20,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
54,1521226346000,Christchurch Place,20,0,0,OPEN,2018-03-16 18:52:26,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
55,1521226347000,Parkgate Street,38,1,37,OPEN,2018-03-16 18:52:27,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
56,1521226362000,Exchequer Street,24,0,23,OPEN,2018-03-16 18:52:42,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
57,1521226366000,Hardwicke Street,16,10,6,OPEN,2018-03-16 18:52:46,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
58,1521226372000,Oliver Bond Street,30,17,13,OPEN,2018-03-16 18:52:52,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
59,1521226374000,Royal Hospital,40,27,13,OPEN,2018-03-16 18:52:54,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
60,1521226386000,Deverell Place,30,4,26,OPEN,2018-03-16 18:53:06,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
61,1521226386000,Francis Street,30,28,2,OPEN,2018-03-16 18:53:06,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
62,1521226394000,St. Stephen's Green South,30,30,0,OPEN,2018-03-16 18:53:14,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
63,1521226399000,Mount Street Lower,40,25,15,OPEN,2018-03-16 18:53:19,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
64,1521226401000,St. James Hospital (Central),40,11,29,OPEN,2018-03-16 18:53:21,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
65,1521226404000,Frederick Street South,30,15,15,OPEN,2018-03-16 18:53:24,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
66,1521226406000,Barrow Street,40,11,29,OPEN,2018-03-16 18:53:26,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
67,1521226408000,Blackhall Place,30,22,8,OPEN,2018-03-16 18:53:28,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
68,1521226416000,Mountjoy Square West,30,20,10,OPEN,2018-03-16 18:53:36,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
69,1521226417000,Wilton Terrace,20,20,0,OPEN,2018-03-16 18:53:37,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
70,1521226419000,Portobello Road,30,26,4,OPEN,2018-03-16 18:53:39,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
71,1521226421000,Princes Street / O'Connell Street,23,8,15,OPEN,2018-03-16 18:53:41,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
72,1521226423000,Wolfe Tone Street,29,25,4,OPEN,2018-03-16 18:53:43,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
